OriginalURL,TargetFilename
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-002.jpg?height=486&width=1292&top_left_y=969&top_left_x=178,2025_05_05_bb7a9f6e05b71dd1aeeeg-002-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-004.jpg?height=437&width=672&top_left_y=818&top_left_x=868,2025_05_05_bb7a9f6e05b71dd1aeeeg-004-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-005.jpg?height=739&width=922&top_left_y=727&top_left_x=1828,2025_05_05_bb7a9f6e05b71dd1aeeeg-005-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-006.jpg?height=940&width=1422&top_left_y=585&top_left_x=1496,2025_05_05_bb7a9f6e05b71dd1aeeeg-006-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-007.jpg?height=512&width=411&top_left_y=1332&top_left_x=2427,2025_05_05_bb7a9f6e05b71dd1aeeeg-007-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-008.jpg?height=1127&width=1347&top_left_y=253&top_left_x=1489,2025_05_05_bb7a9f6e05b71dd1aeeeg-008-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-010.jpg?height=717&width=858&top_left_y=1181&top_left_x=436,2025_05_05_bb7a9f6e05b71dd1aeeeg-010-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-010.jpg?height=370&width=1075&top_left_y=665&top_left_x=1718,2025_05_05_bb7a9f6e05b71dd1aeeeg-010-2.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-010.jpg?height=311&width=1059&top_left_y=1377&top_left_x=1687,2025_05_05_bb7a9f6e05b71dd1aeeeg-010-3.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-011.jpg?height=329&width=1160&top_left_y=231&top_left_x=188,2025_05_05_bb7a9f6e05b71dd1aeeeg-011-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-011.jpg?height=348&width=1213&top_left_y=631&top_left_x=184,2025_05_05_bb7a9f6e05b71dd1aeeeg-011-2.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-011.jpg?height=378&width=1228&top_left_y=1049&top_left_x=184,2025_05_05_bb7a9f6e05b71dd1aeeeg-011-3.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-011.jpg?height=378&width=1230&top_left_y=1474&top_left_x=183,2025_05_05_bb7a9f6e05b71dd1aeeeg-011-4.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-012.jpg?height=348&width=1024&top_left_y=818&top_left_x=266,2025_05_05_bb7a9f6e05b71dd1aeeeg-012-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-012.jpg?height=165&width=511&top_left_y=1688&top_left_x=1907,2025_05_05_bb7a9f6e05b71dd1aeeeg-012-2.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-013.jpg?height=295&width=874&top_left_y=1217&top_left_x=402,2025_05_05_bb7a9f6e05b71dd1aeeeg-013-1.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-013.jpg?height=314&width=847&top_left_y=1707&top_left_x=337,2025_05_05_bb7a9f6e05b71dd1aeeeg-013-2.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-013.jpg?height=83&width=250&top_left_y=1178&top_left_x=1605,2025_05_05_bb7a9f6e05b71dd1aeeeg-013-3.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-013.jpg?height=71&width=213&top_left_y=1385&top_left_x=1646,2025_05_05_bb7a9f6e05b71dd1aeeeg-013-4.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-013.jpg?height=95&width=236&top_left_y=1660&top_left_x=1679,2025_05_05_bb7a9f6e05b71dd1aeeeg-013-5.jpg
https://cdn.mathpix.com/cropped/2025_05_05_bb7a9f6e05b71dd1aeeeg-014.jpg?height=87&width=229&top_left_y=158&top_left_x=303,2025_05_05_bb7a9f6e05b71dd1aeeeg-014-1.jpg
