c6a4f65bc02ccdd2e5150c393f5d79854b106f3b,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 6/Music/Kenyan Indigenous Musical Instruments/15567-grade-8-rationalised-social-studies-lesson-notes.docx,3171876,
6f3d7879c1b7a5b85b60a103c3bc54f551a3af1f,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 6/Science/Living Things/.~574-grade-6-science-and-technology-lesson-notes.docx,162,
631873b8b1a9f022d7bdb3d8d992981d9cb7b1e9,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 6/Science/Living Things/11574-grade-6-science-and-technology-lesson-notes.docx,2473700,
414afa5588eac8575264cf962d8889cb91df112a,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15444-grade-8-integrated-science-rationalized-notes-complete.docx,1425510,
52fec7bac2b130ebecff07b7a4027f0b136ff56b,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15445-grade-8-rationalized-pre-technical-studies-lesson-notes-complete.docx,2231941,
998b9c0acb64b6bc883d522d391bd8b22cbb90ed,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15566-grade-8-creative-arts-and-sports-lesson-notes-complete.docx,4269708,
c9265df0171a0d6da7ab69773bf12042d768a7c4,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15584-grade-8-rationalized-c-r-e-notes-term-1.doc,117760,
851894c80cbf141d1ecf2ae9acebd58db729577a,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15588-grade-8-rationalized-integrated-science-lesson-notes-term-2.doc,794624,
6e0063f397084190d00d1a87e9105efec97ce8ef,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15590-grade-8-agriculture-and-nutrition-lesson-notes-term-2.doc,350208,
0985c8700ff17d876dd01bbed748b19c77132976,DELETE,regular-file,cbc/secondary/Junior Secondary/Grade 8/15591-grade-8-rationalized-pre-technical-lesson-notes-term-2.doc,462848,
